"TIME" "Pop_2_avg"
"76" "EL61" 734946.8
"77" "EL62" 206999.4
"78" "EL63" 675156.8
"79" "EL64" 558325.2
"80" "EL65" 583397
"81" "ES11" 2739557.2
"82" "ES12" 1052898.2
"83" "ES13" 586176.8
"84" "ES21" 2173676.2
"85" "ES22" 639358.8
"86" "ES23" 316107.1
"87" "ES24" 1329675.7
"88" "ES30" 6446381.7
"89" "ES41" 2483940.9
"90" "ES42" 2067918.6
"91" "ES43" 1089363
"92" "ES51" 7467061.4
"93" "ES52" 4967031.6
"94" "ES53" 1126861.5
"95" "ES61" 8381781.6
"96" "ES62" 1466479.9
"97" "ES63" 83838.9
"98" "ES64" 82787.4
"99" "ES70" 2121633.1
"100" "FR10" 12036547.9
"101" "FRB0" 2569154.2
"102" "FRC1" 1637580.2
"103" "FRC2" 1177155.5
"104" "FRD1" 1475491.4
"105" "FRD2" 1851122.3
"106" "FRE1" 4063213.9
"107" "FRE2" 1926884.6
"108" "FRF1" 1875419.6
"109" "FRF2" 1333013.4
"110" "FRF3" 2340084.2
"111" "FRG0" 3695242.2
"112" "FRH0" 3279088.1
"113" "FRI1" 3350666.9
"114" "FRI2" 736682.3
"115" "FRI3" 1796008.1
"116" "FRJ1" 2754225.9
"117" "FRJ2" 2982300.1
"118" "FRK1" 1359918.5
"119" "FRK2" 6465480.7
"120" "FRL0" 4986723.6
"121" "FRM0" 325834.2
"122" "FRY2" 380743.7
"123" "FRY3" 255884.5
"124" "FRY4" 843134.9
"125" "HR03" 1398994.6
"126" "HR04" 2813962.8
"127" "ITC1" 4382053.2
"128" "ITC2" 127086.7
"129" "ITC3" 1568456.4
"130" "ITC4" 9881084.7
"131" "ITH1" 515190.6
"132" "ITH2" 533056.6
"133" "ITH3" 4889599.7
"134" "ITH4" 1220358.5
"135" "ITH5" 4406268.5
"136" "ITI1" 3711520.7
"137" "ITI2" 886364.3
"138" "ITI3" 1540588
"139" "ITI4" 5720107.4
"140" "ITF1" 1316408.8
"141" "ITF2" 311919.6
"142" "ITF3" 5804697.8
"143" "ITF4" 4054774.5
"144" "ITF5" 573902.8
"145" "ITF6" 1960736.9
"146" "ITG1" 5025632.8
"147" "ITG2" 1647010.4
"148" "CY00" 853504.4
"149" "LV00" 2002473.1
"150" "LT01" 808801.8
"151" "LT02" 2128637.3
"152" "LU00" 557125.1
"153" "HU11" 1743486.1
"154" "HU12" 1236845
"155" "HU21" 1071025.3
"156" "HU22" 987119.6
"157" "HU23" 913311.5
"158" "HU31" 1169473.9
"159" "HU32" 1478230.2
"160" "HU33" 1275796.2
"161" "HUXX" 0
"162" "MT00" 441815.8
"163" "NL11" 581919
"164" "NL12" 646809.1
"165" "NL13" 490536.9
"166" "NL21" 1142207.6
"167" "NL22" 2029174
"168" "NL23" 401560
"169" "NL31" 1260987.2
"170" "NL32" 2757685.9
"171" "NL33" 3599002.8
"172" "NL34" 381492.6
"173" "NL41" 2488546.7
"174" "NL42" 1119538.2
"175" "AT11" 288558.4
"176" "AT12" 1637833.5
"177" "AT13" 1790933.8
"178" "AT21" 558313.4
"179" "AT22" 1222071.5
"180" "AT31" 1438917.6
"181" "AT32" 539194.1
"182" "AT33" 728164.9
"183" "AT34" 379400.6
"184" "PL21" 3320821.8
"185" "PL22" 4542375
"186" "PL41" 3443822.4
"187" "PL42" 1688406.5
"188" "PL43" 1007480.2
"189" "PL51" 2870583.6
"190" "PL52" 959922.9
"191" "PL61" 2066869.6
"192" "PL62" 1418821.1
"193" "PL63" 2269229.4
"194" "PT11" 3635614.4
"195" "PT15" 443336.3
"196" "PT16" 2277790.5
"197" "PT17" 2820713.5
"198" "PT18" 736044.1
"199" "PT20" 245995
"200" "PT30" 260161.9
"201" "RO11" 2606417.9
"202" "RO12" 2379094.4
"203" "RO21" 3344921.6
"204" "RO22" 2541386.7
"205" "RO31" 3083450.8
"206" "RO32" 2285054.9
"207" "RO41" 2048716.6
"208" "RO42" 1827207.3
"209" "SI03" 1095033.2
"210" "SI04" 966298
"211" "SK01" 624631.2
"212" "SK02" 1834792.3
"213" "SK03" 1345675.1
"214" "SK04" 1613946.2
"215" "FI19" 1372235.9
"216" "FI1B" 1593980.7
"217" "FI1C" 1158337.4
"218" "FI1D" 1296612.8
"219" "FI20" 28765.3
"220" "SE11" 2180585.6
"221" "SE12" 1622196.4
"222" "SE21" 829954.6
"223" "SE22" 1444022.1
"224" "SE23" 1941791.1
"225" "SE31" 836179.2
"226" "SE32" 371112.8
"227" "SE33" 512539.8
"228" "EFTA" 13666565.2
"229" "IS00" 330860.4
"230" "LI00" 37177.5
"231" "NO01" 1218642.3
"232" "NO02" 382443.7
"233" "NO03" 970682.7
"234" "NO04" 750841.6
"235" "NO05" 875137
"236" "NO06" 442870.4
"237" "NO07" 477680.4
"238" "CH01" 1556477.2
"239" "CH02" 1813941.8
"240" "CH03" 1110820.2
"241" "CH04" 1437693.5
"242" "CH05" 1137664.5
"243" "CH06" 777797.7
"244" "CH07" 345834.3
"245" "UKC1" 1185230.3
"246" "UKC2" 1433916.1
"247" "UKD1" 498908.5
"248" "UKD3" 2737847.3
"249" "UKD4" 1474152.9
"250" "UKD6" 914165.7
"251" "UKD7" 1523956.4
"252" "UKE1" 923921.8
"253" "UKE2" 808744.9
"254" "UKE3" 1367526.6
"255" "UKE4" 2265700
"256" "UKF1" 2150627.1
"257" "UKF2" 1763645.7
"258" "UKF3" 732208.9
"259" "UKG1" 1318088.1
"260" "UKG2" 1592831.7
"261" "UKG3" 2813727.6
"262" "UKH1" 2446159.3
"263" "UKH2" 1793597
"264" "UKH3" 1774803.8
"265" "UKI3" 1131342.3
"266" "UKI4" 2264987.8
"267" "UKI5" 1837509.1
"268" "UKI6" 1266279.1
"269" "UKI7" 2023397.1
"270" "UKJ1" 2334545.3
"271" "UKJ2" 2813028.7
"272" "UKJ3" 1939255.3
"273" "UKJ4" 1781616.8
"274" "UKK1" 2418625.4
"275" "UKK2" 1300621.3
"276" "UKK3" 548964.9
"277" "UKK4" 1159683.8
"278" "UKL1" 1947283
"279" "UKL2" 1144615
"280" "UKM5" 485460.1
"281" "UKM6" 467768.4
"282" "ME00" 621281.8
"283" "MK00" 2066291
"284" "TR10" 14174581.3
"285" "TR21" 1644462.9
"286" "TR22" 1684013.3
"287" "TR31" 4095414.9
"288" "TR32" 2888625.3
"289" "TR33" 3005980.7
"290" "TR41" 3793664.9
"291" "TR42" 3512404.5
"292" "TR51" 5104021.2
"293" "TR52" 2336162
"294" "TR61" 2866445.5
"295" "TR62" 3871825.8
"296" "TR63" 3106118.7
"297" "TR71" 1524299
"298" "TR72" 2377911.2
"299" "TR81" 1027940.6
"300" "TR82" 760443.6
"301" "TR83" 2741720.8
"302" "TR90" 2579253.2
"303" "TRA1" 1070583.8
"304" "TRA2" 1136080.1
"305" "TRB1" 1686233.1
"306" "TRB2" 2090323.5
"307" "TRC1" 2588983.5
"308" "TRC2" 3446676.9
"309" "TRC3" 2122834.9
