"CSP01" "CSP02" "CSP03" "CSP04" "CSP05" "CSP06" "CSP07" "CSP08" "CSP09" "CSP10" "CSP11" "CSP12" "CSP13" "CSP14" "CSP15" "CSP16" "CSP17" "CSP18" "CSP19" "CSP20" "CSP21" "CSP22"
"DE118" 0 0 0 0 0 0 0 0 2.5 0 0 0 0 0 0 0.2 0 0 0 0 0 0
"DE11C" 0 0 0 0 0 0 0 0 1.66666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE11D" 0 0 0 0 0 0 0 0 7.76666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE122" 0 0 0 0 0 0 0 0 6.53333333333333 0 0 0 0 0 0 0 1.66666666666666 0 0 0 4.66666666666667 0
"DE123" 0 0 0 0 0 0 0 0 5.13333333333333 0 0 0 0 0 0 0 1.66666666666666 0 0 0 4.16666666666666 0
"DE124" 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0
"DE126" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2.66666666666666 0
"DE128" 0 0 0 0 0 0 0 0 0.966666666666667 0 0 0 0 0 0 0 0 0 0 0 2.04166666666667 0
"DE129" 0 0 0 0 0 0 0 0 2.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE12B" 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0.833333333333333 0
"DE131" 0 0 0 0 0 0 0 0 7.66666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE132" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE133" 0 0 0 0 0 0 0 0 9.33333333333332 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE134" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"DE135" 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"DE138" 0 0 0 0 0 0 0 0 0.833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE139" 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE13A" 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE141" 0 0 0 0 0 0 0 0 12.5 0 0 0 0 0 0 0 0 0 0 0 0.25 0
"DE142" 0 0 0 0 0 0 0 0 20.1666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE144" 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE145" 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE147" 0 0 0 0 0 0 0 0 1.41666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE148" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE211" 0 0 0 0 0 0 0 0 1.66666666666666 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0
"DE212" 0 0 0 0 1 0 0 0 20.1666666666667 0 0.333333333333333 0 0 0 0 0 0 0 0 1 9 0
"DE214" 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE216" 0 0 0.999999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE217" 0 0 0 0 0 0 0 0 4.2 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE218" 0 0 0.999999999999999 0 0 0 0 0 15.5833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE21B" 0 0 0 0 0 0 0 0 1.16666666666667 0 1 0 0 0 0 0 0 0 0 0 0.333333333333333 0
"DE21C" 0 0 0 0 0 0 0 0 3.33333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE21E" 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE21F" 0 0 0 0 0 0 0 0 2.33333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE21G" 0 0 0 0 0 0 0 0 0.517857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE21H" 0 0 0 0 1 0 0 0 9.74999999999999 0 0.333333333333333 0 0 0 0 0 0 0 0 1 2 0
"DE21J" 0 0 0 0 0 0 0 0 3.66666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE21L" 0 0 0 0 0 0 0 0 1.33333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE21M" 0 0 0 0 0 0 0 0 3.75 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE221" 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE223" 0 0 0 0 0 0 0 0 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE224" 0 0 0 0 0 0 0 0 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE226" 0 0 0 0 0 0 0 0 1.22222222222222 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0
"DE227" 0 0 0 0 0 0 0 0 1.16666666666667 0 0 0 0 0 0 0 0 0 0 0 0.75 0
"DE229" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE22A" 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE22C" 0 0 0 0 0 0 0 0 0.666666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE231" 0 0 0 0 0 0 0 0 0.999999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE232" 0 0 0 0 0 0 0 0 0.666666666666666 0 1 0 0 0 0 0 0 0 0 0 0.333333333333333 0
"DE234" 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0
"DE237" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0
"DE238" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.833333333333333 0
"DE239" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.25 0
"DE23A" 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE242" 0.142857142857143 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE244" 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE246" 0 0 0 0 0 0 0 0 0.166666666666667 0 1 0 0 0 0 0 0 0 0 0 0 0
"DE248" 0 0 0 0 0 0 0 0 0.222222222222222 0 0 0 0 0 0 0 0 0 0 0 5.25 0
"DE249" 0.476190476190476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE24B" 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE252" 0 0 0 0 0 0 0 0 5.35555555555555 1 0.5 0 0 0 0.5 0 0 0 0 0 2.66666666666667 0
"DE253" 0 0 0 0 0.25 0 0 0 5.33333333333333 0 0.5 0 0 0 0 0 0 0 0 0 2.58333333333333 0
"DE254" 0 0 0 0 0 0 0 0 15.9555555555556 1 0 0 0 0 0 0 0 0 0 0 8.51666666666667 0
"DE255" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.999999999999999 0
"DE257" 0 0 0 0 0 0 0 0 4.28888888888889 0 0 0 0 0 0 0 0 0 0 0 4 0
"DE258" 0 0 0 0 0.25 0 0 0 2.33333333333333 0 0 0 0 0 0 0 0 0 0 0 2.85 0
"DE259" 0 0 0 0 0.25 0 0 0 3.4 0 0 0 0 0 0 0 0 0 0 0 0.583333333333333 0
"DE25A" 0 0 0 0 0 0 0 0 3.60555555555555 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE25B" 0 0 0 0 0 0 0 0 1.2 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0.333333333333333 0
"DE25C" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0.25 0
"DE261" 0 0 0 0 0 0 0 0 7.72222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE263" 0 0 0 0 0 0 0 0 0.666666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE264" 0 0 0 0 0 0 0 0 11.9079365079365 0 0 0 0 0 0 0 0 0 0 0 1.33333333333333 0
"DE265" 0 0 0 0 0 0 0 0 4.4 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE267" 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE26A" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0.5 0
"DE26B" 0 0 0 0 0 0 0 0 10 0 2 0 0 0 0 0 0 0 0 0 0 0
"DE26C" 0 0 0 0 0 0 0 0 0.666666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE271" 0 0 0 0.571428571428572 0 0 0 0 6.25 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE273" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"DE275" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"DE276" 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0
