"nuts2" "inter_link"
"287" "UKE2" 40345110.3
"288" "UKE3" 153310247.01
"289" "UKE4" 65211095.01
"290" "UKF1" 97765981.84
"291" "UKF2" 65632683.19
"292" "UKF3" 2782821.4
"293" "UKG1" 33679362.6
"294" "UKG2" 21167253.72
"295" "UKG3" 101752213.77
"296" "UKH1" 407195521.16
"297" "UKH2" 45729395.72
"298" "UKH3" 27284563.24
"299" "UKI3" 487089935.68
"300" "UKI4" 1110985.92
"301" "UKI5" 277949.11
"302" "UKI6" 13174373.73
"303" "UKI7" 31211674.2
"304" "UKJ1" 314277180.49
"305" "UKJ2" 126131474.7
"306" "UKJ3" 129026885.12
"307" "UKJ4" 28520556.34
"308" "UKK1" 139598994.48
"309" "UKK2" 2218875.28
"310" "UKK3" 1382107.55
"311" "UKK4" 71157666.44
"312" "UKL1" 36651971.28
"313" "UKL2" 60630936.96
"314" "UKM5" 9919561.86
"315" "UKM6" 1936079.95
"316" "UKM7" 175162675.95
"317" "UKM8" 129697827
"318" "UKM9" 1927614.08
"319" "UKN0" 75700375.4
