
id	label	sublabel	description	x	y	cluster	weight<Links>	weight<Total  link strength>	weight<No. of pub. (2000-2020)>	score<Avg. pub. year>	weight<absloute no>	weight<relative no>	score<Avg.year.set>
239	239	"microcystin; rotifera; cylindrospermopsin; cyanotoxin; monogononta"	"<table><tr><td>Micro-level field:</td><td>239</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>hydrobiologia; freshwater biology; international association of theoretical and applied limnology proceedings; limnology and oceanography; toxicon</td></tr><tr><td>Terms:</td><td>microcystin; rotifera; cylindrospermopsin; cyanotoxin; monogononta</td></tr></table>"	-0,1273	-0,1718	4	2653	349633	21059	2011,4207	0	0	0
241	241	"granulocytic sarcoma; azacitidine; juvenile myelomonocytic leukemia; lower risk myelodysplastic syndrome; gemtuzumab ozogamicin"	"<table><tr><td>Micro-level field:</td><td>241</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>blood; leukemia; leukemia research; leukemia & lymphoma; british journal of haematology</td></tr><tr><td>Terms:</td><td>granulocytic sarcoma; azacitidine; juvenile myelomonocytic leukemia; lower risk myelodysplastic syndrome; gemtuzumab ozogamicin</td></tr></table>"	-0,8916	-0,2225	2	2101	395827	21031	2011,7032	0	0	0
258	258	"photosystem ii; reaction center; electron transfer; chlorophyll; light harvesting complex"	"<table><tr><td>Micro-level field:</td><td>258</td></tr><tr><td>Main fields:</td><td>Life and earth sciences; Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>photosynthesis research; biochimica et biophysica acta-bioenergetics; biochemistry; journal of physical chemistry b; journal of biological chemistry</td></tr><tr><td>Terms:</td><td>photosystem ii; reaction center; electron transfer; chlorophyll; light harvesting complex</td></tr></table>"	-0,2885	-0,332	4	2380	398567	20705	2009,784	2	9,65950253561942E-05	2002
272	272	"mri; magnetic resonance imaging; superparamagnetic iron oxide nanoparticle; drug delivery; hyperthermia"	"<table><tr><td>Micro-level field:</td><td>272</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of magnetism and magnetic materials; rsc advances; journal of nanoscience and nanotechnology; journal of nanoparticle research; ieee transactions on magnetics</td></tr><tr><td>Terms:</td><td>mri; magnetic resonance imaging; superparamagnetic iron oxide nanoparticle; drug delivery; hyperthermia</td></tr></table>"	0,3433	-0,4958	3	2964	682620	20304	2012,9484	0	0	0
274	274	"uru2si2; skutterudite; heavy fermion superconductor; heavy fermion; kondo lattice"	"<table><tr><td>Micro-level field:</td><td>274</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review b; physica b-condensed matter; journal of the physical society of japan; journal of alloys and compounds; journal of magnetism and magnetic materials</td></tr><tr><td>Terms:</td><td>uru2si2; skutterudite; heavy fermion superconductor; heavy fermion; kondo lattice</td></tr></table>"	0,871	-0,5339	3	933	115019	20238	2008,5591	0	0	0
289	289	"achalasia; barrett; laryngopharyngeal reflux; antireflux surgery; laparoscopic nissen fundoplication"	"<table><tr><td>Micro-level field:</td><td>289</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>american journal of gastroenterology; surgical endoscopy and other interventional techniques; alimentary pharmacology & therapeutics; diseases of the esophagus; neurogastroenterology and motility</td></tr><tr><td>Terms:</td><td>achalasia; barrett; laryngopharyngeal reflux; antireflux surgery; laparoscopic nissen fundoplication</td></tr></table>"	-0,9371	-0,0874	2	2179	183893	19941	2010,3091	0	0	0
290	290	"growth factor binding protein; igfbp; insulin; growth factor; growth hormone treatment"	"<table><tr><td>Micro-level field:</td><td>290</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of clinical endocrinology & metabolism; growth hormone & igf research; endocrinology; european journal of endocrinology; clinical endocrinology</td></tr><tr><td>Terms:</td><td>growth factor binding protein; igfbp; insulin; growth factor; growth hormone treatment</td></tr></table>"	-0,8467	-0,1435	2	2409	402503	19912	2008,6251	0	0	0
291	291	"hypoplastic left heart syndrome; tetralogy; fallot; pulmonary atresia; arterial switch operation"	"<table><tr><td>Micro-level field:</td><td>291</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>annals of thoracic surgery; cardiology in the young; pediatric cardiology; journal of thoracic and cardiovascular surgery; european journal of cardio-thoracic surgery</td></tr><tr><td>Terms:</td><td>hypoplastic left heart syndrome; tetralogy; fallot; pulmonary atresia; arterial switch operation</td></tr></table>"	-0,9214	0,0121	2	1733	150336	19887	2011,7268	0	0	0
306	306	"aneurysmal subarachnoid hemorrhage; cerebral vasospasm; intracranial aneurysm"	"<table><tr><td>Micro-level field:</td><td>306</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>world neurosurgery; neurosurgery; journal of neurosurgery; american journal of neuroradiology; stroke</td></tr><tr><td>Terms:</td><td>aneurysmal subarachnoid hemorrhage; cerebral vasospasm; intracranial aneurysm</td></tr></table>"	-0,9367	0,052	2	2148	149199	19598	2011,8716	0	0	0
307	307	"item; inventory model; payment; trade credit; revenue management"	"<table><tr><td>Micro-level field:</td><td>307</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>international journal of production economics; european journal of operational research; international journal of production research; production and operations management; computers & industrial engineering</td></tr><tr><td>Terms:</td><td>item; inventory model; payment; trade credit; revenue management</td></tr></table>"	0,5075	0,5537	5	2049	154061	19569	2012,6321	0	0	0
