id	label	description	x	y	cluster	weight
677	677	"<table><tr><td>Micro-level field;</td><td>677</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>annual ieee applied power electronics conference and exposition (apec); ieee transactions on power electronics; ieee energy conversion congress and exposition; ieee industrial electronics society; ieee power electronics specialists conference records</td></tr><tr><td>Terms;</td><td>solid state transformer; llc resonant converter; dual active bridge converter; sic mosfet; sic</td></tr></table>"	0.8894	0.2154	5	1846
451	451	"<table><tr><td>Micro-level field;</td><td>451</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>journal of magnetic resonance; journal of biomolecular nmr; journal of the american chemical society; magnetic resonance in chemistry; solid state nuclear magnetic resonance</td></tr><tr><td>Terms;</td><td>solid state nmr spectroscopy; residual dipolar coupling; resonance assignment; solution structure; magic angle</td></tr></table>"	-0.1433	-0.4869	3	1754
765	765	"<table><tr><td>Micro-level field;</td><td>765</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee industrial electronics society; ieee transactions on power electronics; ieee transactions on industrial electronics; ieee energy conversion congress and exposition; annual ieee applied power electronics conference and exposition (apec)</td></tr><tr><td>Terms;</td><td>multilevel inverter; carrier; selective harmonic elimination; open end; level</td></tr></table>"	0.882	0.2287	5	1725
248	248	"<table><tr><td>Micro-level field;</td><td>248</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>optics express; proceedings of spie; applied physics letters; ieee antennas and propagation society international symposium; physical review b</td></tr><tr><td>Terms;</td><td>left; negative refraction; composite right; transmission line; transformation optic</td></tr></table>"	0.9361	-0.315	3	1706
297	297	"<table><tr><td>Micro-level field;</td><td>297</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee conference on decision and control; proceedings of the american control conference; chinese control conference; ieee transactions on automatic control; automatica</td></tr><tr><td>Terms;</td><td>consensus; leader; multi agent systems; event; communication delay</td></tr></table>"	0.7999	0.3297	5	1640
157	157	"<table><tr><td>Micro-level field;</td><td>157</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>lecture notes in computer science; ieice transactions on fundamentals of electronics communications and computer sciences; security and communication networks; ieee access; information sciences</td></tr><tr><td>Terms;</td><td>random oracle; cloud storage; encrypted data; signature; identity</td></tr></table>"	0.7401	0.5938	5	1548
1602	1602	"<table><tr><td>Micro-level field;</td><td>1602</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power delivery; international conference on harmonics and quality of power; electric power systems research; ieee transactions on industry applications; ieee power and energy society general meeting pesgm</td></tr><tr><td>Terms;</td><td>power quality disturbance; classification; dynamic voltage restorer; electric arc furnace; voltage sag</td></tr></table>"	0.8757	0.2389	5	1544
479	479	"<table><tr><td>Micro-level field;</td><td>479</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>optics express; proceedings of spie; conference on lasers and electro-optics; optics letters; ieee photonics technology letters</td></tr><tr><td>Terms;</td><td>germanium; gesn; silicon photonic; silicon waveguide; molecular beam epitaxy</td></tr></table>"	0.9456	-0.3488	3	1428
578	578	"<table><tr><td>Micro-level field;</td><td>578</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>physical review b; computational materials science; journal of physics-condensed matter; physical chemistry chemical physics; journal of physical chemistry c</td></tr><tr><td>Terms;</td><td>silicene; germanene; silicene nanoribbon; thermodynamic property; phase stability</td></tr></table>"	0.7725	-0.5033	3	1388
21	21	"<table><tr><td>Micro-level field;</td><td>21</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>physical review a; physical review letters; international journal of theoretical physics; proceedings of spie; quantum information processing</td></tr><tr><td>Terms;</td><td>quantum key distribution; linear optic; direct communication; cryptanalysis; probabilistic teleportation</td></tr></table>"	1.0131	-0.3143	3	1369
