label	sublabel	description	x	y	cluster	weight
"transparency; metamaterial; graphene plasmon; metasurface; tunable plasmon"	45401	"<table><tr><td>Micro-level field;</td><td>1944</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>optics express; physical review b; applied physics letters; optics communications; proceedings of spie</td></tr><tr><td>Terms;</td><td>transparency; metamaterial; graphene plasmon; metasurface; tunable plasmon</td></tr></table>"	0.9295	-0.3648	3	45401
"c3n4; graphitic carbon nitride; enhanced photocatalytic performance; photocatalytic reduction; bi2wo6"	45093	"<table><tr><td>Micro-level field;</td><td>5</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>applied catalysis b-environmental; applied surface science; rsc advances; journal of physical chemistry c; journal of photochemistry and photobiology a-chemistry</td></tr><tr><td>Terms;</td><td>c3n4; graphitic carbon nitride; enhanced photocatalytic performance; photocatalytic reduction; bi2wo6</td></tr></table>"	0.6369	-0.5335	3	45093
"rheological; melt; dispersion; reinforcement; poly"	43489	"<table><tr><td>Micro-level field;</td><td>299</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>carbon; composites science and technology; journal of applied polymer science; polymer; journal of nanoscience and nanotechnology</td></tr><tr><td>Terms;</td><td>rheological; melt; dispersion; reinforcement; poly</td></tr></table>"	0.6026	-0.4623	3	43489
"silicon nanocrystal; porous silicon; silicon quantum dot; sio2 matrix; nanocrystalline silicon"	42748	"<table><tr><td>Micro-level field;</td><td>78</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of applied physics; thin solid films; applied physics letters; journal of non-crystalline solids; materials research society symposium proceedings</td></tr><tr><td>Terms;</td><td>silicon nanocrystal; porous silicon; silicon quantum dot; sio2 matrix; nanocrystalline silicon</td></tr></table>"	0.8054	-0.4718	3	42748
"z source inverter; high step; transient response; capacitor dc dc converter; z source"	41865	"<table><tr><td>Micro-level field;</td><td>256</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power electronics; annual ieee applied power electronics conference and exposition (apec); ieee power electronics specialists conference records; ieee energy conversion congress and exposition; ieee industrial electronics society</td></tr><tr><td>Terms;</td><td>z source inverter; high step; transient response; capacitor dc dc converter; z source</td></tr></table>"	0.8892	0.2158	5	41865
"transparent electrode; silver nanowire network; copper nanowire; organic light"	40165	"<table><tr><td>Micro-level field;</td><td>2721</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>acs applied materials & interfaces; rsc advances; nanotechnology; nanoscale; scientific reports</td></tr><tr><td>Terms;</td><td>transparent electrode; silver nanowire network; copper nanowire; organic light</td></tr></table>"	0.6854	-0.4885	3	40165
"photothermal therapy; agent; gold nanorod; cellular uptake; cytotoxicity"	40136	"<table><tr><td>Micro-level field;</td><td>201</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>langmuir; journal of physical chemistry c; journal of the american chemical society; nanoscale; rsc advances</td></tr><tr><td>Terms;</td><td>photothermal therapy; agent; gold nanorod; cellular uptake; cytotoxicity</td></tr></table>"	0.5306	-0.5161	3	40136
"upconversion nanoparticle; conversion luminescence; nayf4; upconversion; temperature sensing"	36092	"<table><tr><td>Micro-level field;</td><td>942</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of luminescence; journal of alloys and compounds; nanoscale; rsc advances; optical materials</td></tr><tr><td>Terms;</td><td>upconversion nanoparticle; conversion luminescence; nayf4; upconversion; temperature sensing</td></tr></table>"	0.6738	-0.5413	3	36092
"intermediate band solar cell; hot carrier solar cell; solar cell; multijunction solar cell; cpv"	34370	"<table><tr><td>Micro-level field;</td><td>1918</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee photovoltaic specialists conference; aip conference proceedings; proceedings of spie; solar energy materials and solar cells; progress in photovoltaics</td></tr><tr><td>Terms;</td><td>intermediate band solar cell; hot carrier solar cell; solar cell; multijunction solar cell; cpv</td></tr></table>"	0.87	-0.4593	3	34370
"metal organic framework; mof; zif; mil; uio"	34118	"<table><tr><td>Micro-level field;</td><td>11</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>crystengcomm; crystal growth & design; inorganic chemistry communications; inorganic chemistry; chemical communications</td></tr><tr><td>Terms;</td><td>metal organic framework; mof; zif; mil; uio</td></tr></table>"	0.3254	-0.6444	3	34118
