label	sublabel	description	x	y	cluster	weight
"synthetic jet; airfoil; flow control; plasma actuator; dielectric barrier discharge plasma actuator"	327	"<table><tr><td>Micro-level field;</td><td>2184</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>aiaa journal; journal of physics d-applied physics; ieee transactions on plasma science; combustion and flame; technical physics letters</td></tr><tr><td>Terms;</td><td>synthetic jet; airfoil; flow control; plasma actuator; dielectric barrier discharge plasma actuator</td></tr></table>"	0.7668	-0.2252	3	327
"wave energy converter; wind turbine; oscillating water column; spar type"	325	"<table><tr><td>Micro-level field;</td><td>1891</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ocean engineering; renewable energy; international offshore and polar engineering conference proceedings; energies; proceedings of the asme international conference on ocean offshore and arctic engineering</td></tr><tr><td>Terms;</td><td>wave energy converter; wind turbine; oscillating water column; spar type</td></tr></table>"	0.7537	0.002	3	325
"compressive sensing; sensing; compressed; sparse signal; sparse recovery"	292	"<table><tr><td>Micro-level field;</td><td>444</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>international conference on acoustics speech and signal processing icassp; proceedings of spie; ieee transactions on signal processing; ieee transactions on information theory; ieee international conference on image processing icip</td></tr><tr><td>Terms;</td><td>compressive sensing; sensing; compressed; sparse signal; sparse recovery</td></tr></table>"	0.7412	0.4056	5	292
"global solar radiation; satellite; sunshine duration; solar irradiance; active radiation"	280	"<table><tr><td>Micro-level field;</td><td>1468</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>solar energy; renewable energy; energy conversion and management; energy procedia; renewable & sustainable energy reviews</td></tr><tr><td>Terms;</td><td>global solar radiation; satellite; sunshine duration; solar irradiance; active radiation</td></tr></table>"	0.5775	0.1298	3	280
"power system stabilizer; upfc; unified power flow controller; multi machine power system; tcsc"	271	"<table><tr><td>Micro-level field;</td><td>278</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power systems; ieee power and energy society general meeting pesgm; international journal of electrical power & energy systems; electric power systems research; iet generation transmission & distribution</td></tr><tr><td>Terms;</td><td>power system stabilizer; upfc; unified power flow controller; multi machine power system; tcsc</td></tr></table>"	0.8571	0.2579	5	271
"wind speed; wind energy potential; wind resource assessment; wind characteristic; hydropower"	265	"<table><tr><td>Micro-level field;</td><td>2308</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>renewable & sustainable energy reviews; renewable energy; energy conversion and management; energy policy; energy procedia</td></tr><tr><td>Terms;</td><td>wind speed; wind energy potential; wind resource assessment; wind characteristic; hydropower</td></tr></table>"	0.5821	0.172	3	265
"power quality disturbance; classification; dynamic voltage restorer; electric arc furnace; voltage sag"	262	"<table><tr><td>Micro-level field;</td><td>1602</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power delivery; international conference on harmonics and quality of power; electric power systems research; ieee transactions on industry applications; ieee power and energy society general meeting pesgm</td></tr><tr><td>Terms;</td><td>power quality disturbance; classification; dynamic voltage restorer; electric arc furnace; voltage sag</td></tr></table>"	0.8757	0.2389	5	262
"white organic light; diode; oled; iridium; host material"	248	"<table><tr><td>Micro-level field;</td><td>50</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>applied physics letters; synthetic metals; organic electronics; proceedings of spie; journal of applied physics</td></tr><tr><td>Terms;</td><td>white organic light; diode; oled; iridium; host material</td></tr></table>"	0.4888	-0.5882	3	248
"home energy management system; residential demand response; smart home; electric spring; smart grid communication"	227	"<table><tr><td>Micro-level field;</td><td>662</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on smart grid; ieee power and energy society general meeting pesgm; applied energy; energies; ieee pes innovative smart grid technologies conference europe</td></tr><tr><td>Terms;</td><td>home energy management system; residential demand response; smart home; electric spring; smart grid communication</td></tr></table>"	0.7846	0.3396	5	227
"solid state transformer; llc resonant converter; dual active bridge converter; sic mosfet; sic"	227	"<table><tr><td>Micro-level field;</td><td>677</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>annual ieee applied power electronics conference and exposition (apec); ieee transactions on power electronics; ieee energy conversion congress and exposition; ieee industrial electronics society; ieee power electronics specialists conference records</td></tr><tr><td>Terms;</td><td>solid state transformer; llc resonant converter; dual active bridge converter; sic mosfet; sic</td></tr></table>"	0.8894	0.2154	5	227
"turbulent rayleigh benard convection; turbulent non turbulent interface; helicity; shell model; burgers turbulence"	223	"<table><tr><td>Micro-level field;</td><td>437</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of fluid mechanics; aip advances; physical review e; international journal of heat and fluid flow; journal of turbulence</td></tr><tr><td>Terms;</td><td>turbulent rayleigh benard convection; turbulent non turbulent interface; helicity; shell model; burgers turbulence</td></tr></table>"	0.7574	-0.1562	3	223
"fbg sensor; long period fiber grating; fiber bragg grating sensor; simultaneous measurement; long period"	215	"<table><tr><td>Micro-level field;</td><td>132</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>proceedings of spie; ieee photonics technology letters; optics express; journal of lightwave technology; optics letters</td></tr><tr><td>Terms;</td><td>fbg sensor; long period fiber grating; fiber bragg grating sensor; simultaneous measurement; long period</td></tr></table>"	0.9217	-0.3107	3	215
"islanding detection; islanding; rate"	205	"<table><tr><td>Micro-level field;</td><td>3396</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on power delivery; ieee power and energy society general meeting pesgm; iet generation transmission & distribution; ieee transactions on power electronics; ieee energy conversion congress and exposition</td></tr><tr><td>Terms;</td><td>islanding detection; islanding; rate</td></tr></table>"	0.8709	0.2463	5	205
"dimensional gel electrophoresis; quantitative proteomic; proteomic analysis; proteome; shotgun proteomic"	191	"<table><tr><td>Micro-level field;</td><td>222</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>journal of proteome research; proteomics; analytical chemistry; molecular & cellular proteomics; electrophoresis</td></tr><tr><td>Terms;</td><td>dimensional gel electrophoresis; quantitative proteomic; proteomic analysis; proteome; shotgun proteomic</td></tr></table>"	-0.6891	-0.25	2	191
"networked control system; packet dropout; packet; ieee; ethernet"	168	"<table><tr><td>Micro-level field;</td><td>953</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee conference on decision and control; chinese control conference; proceedings of the american control conference; ieee transactions on automatic control; automatica</td></tr><tr><td>Terms;</td><td>networked control system; packet dropout; packet; ieee; ethernet</td></tr></table>"	0.8159	0.3175	5	168
"rheological; melt; dispersion; reinforcement; poly"	165	"<table><tr><td>Micro-level field;</td><td>299</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>carbon; composites science and technology; journal of applied polymer science; polymer; journal of nanoscience and nanotechnology</td></tr><tr><td>Terms;</td><td>rheological; melt; dispersion; reinforcement; poly</td></tr></table>"	0.6026	-0.4623	3	165
