nuts2	country_iso_alpha3_code	cluster_id1	counts
UKD7	GBR	1891	42
ES11	ESP	1891	503
TR10	TUR	1891	47
DEA1	DEU	137	2
TR51	TUR	2086	8
ES61	ESP	137	47
DE50	DEU	1366	1
UKM7	GBR	376	47
UKF3	GBR	1332	6
NL21	NLD	233	30
PT16	PRT	83	8
DED2	DEU	28	6
PL22	POL	299	58
DEA1	DEU	486	18
ITI4	ITA	2184	4
EL61	GRC	1891	6
DED2	DEU	2184	5
NL32	NLD	1891	5
ITC3	ITA	1891	41
FRK2	FRA	2184	2
FRL0	FRA	137	5
DK03	DNK	83	9
RO22	ROU	2086	10
EL52	GRC	530	4
CH03	CHE	1462	14
NO0A	NOR	1891	10
FRF3	FRA	83	18
CH01	CHE	1120	9
NL33	NLD	466	26
DEC0	DEU	2086	60
IE06	IRL	233	12
UKD3	GBR	51	12
DEG0	DEU	28	16
ES70	ESP	83	12
FI1C	FIN	28	5
DE25	DEU	28	22
DE94	DEU	1332	4
ES22	ESP	1891	10
NO09	NOR	1891	6
DE71	DEU	233	84
UKC2	GBR	1366	2
ITI1	ITA	1237	3
ITG1	ITA	530	4
DE40	DEU	233	4
EL30	GRC	1605	42
BE24	BEL	233	75
PL42	POL	2086	3
UKK4	GBR	1891	768
UKN0	GBR	1332	18
TR42	TUR	1450	18
FRG0	FRA	2414	247
SE22	SWE	1450	6
DEA2	DEU	233	12
UKM6	GBR	1891	201
UKK1	GBR	2110	1
LT02	LTU	1891	89
UKK1	GBR	137	6
CH02	CHE	1735	20
UKJ2	GBR	299	84
NO0A	NOR	2086	80
CH01	CHE	2184	6
DEA3	DEU	1450	4
TR41	TUR	1891	9
UKG3	GBR	28	6
ES21	ESP	233	89
EE00	EST	1891	32
PL22	POL	28	2
BE21	BEL	1366	5
BE22	BEL	233	30
ITH3	ITA	28	2
UKF2	GBR	376	2
ES30	ESP	2086	10
ITG1	ITA	1605	8
ITC1	ITA	1891	317
RO11	ROU	392	12
ITH5	ITA	2110	1
FRB0	FRA	2184	2
DE40	DEU	83	12
ES12	ESP	1332	8
FRF1	FRA	486	2
SE23	SWE	1120	2
SE33	SWE	1366	5
TRC3	TUR	1332	12
FRK2	FRA	2414	1482
FRG0	FRA	28	2
FR10	FRA	1366	12
ES43	ESP	2086	6
FRJ1	FRA	233	156
UKG3	GBR	1120	5
FI1C	FIN	486	8
TR42	TUR	137	34
DEA5	DEU	28	1
SE23	SWE	1450	8
SE23	SWE	733	8
SE11	SWE	1891	47
UKD3	GBR	1450	12
ES52	ESP	299	7
SE12	SWE	1856	10
UKF2	GBR	1891	108
UKJ1	GBR	28	19
CH02	CHE	1120	127
UKJ2	GBR	2184	1
UKJ3	GBR	1120	14
ITC4	ITA	1891	225
ES51	ESP	1891	176
DE21	DEU	1332	6
UKE2	GBR	1332	42
ITF6	ITA	137	58
UKI3	GBR	2086	54
CY00	CYP	1891	6
FRH0	FRA	299	2
CZ01	CZE	233	17
UKM8	GBR	1891	372
UKK1	GBR	1120	1
UKI3	GBR	137	63
ITG1	ITA	1332	10
BE23	BEL	137	130
ITF4	ITA	376	8
DK01	DNK	466	2
LT01	LTU	233	25
SE12	SWE	28	3
SE12	SWE	1450	4
SE23	SWE	1856	3
NL31	NLD	748	36
FI1C	FIN	137	2
NL31	NLD	233	21
DE94	DEU	233	42
UKI3	GBR	486	9
ITI4	ITA	1332	4
UKG2	GBR	299	8
NL22	NLD	137	15
UKD3	GBR	2110	1
FI1B	FIN	2110	1
ES42	ESP	299	10
NL33	NLD	233	73
EL30	GRC	299	13
UKD4	GBR	1891	43
FRF3	FRA	733	3
UKD3	GBR	486	4
DE71	DEU	466	8
DE60	DEU	137	2
ITH5	ITA	1120	2
DK04	DNK	233	24
CZ05	CZE	2086	34
ES61	ESP	2086	302
DE12	DEU	28	34
ITH3	ITA	137	2
DE40	DEU	1856	3
FRJ2	FRA	1679	7
FRK2	FRA	1462	127
UKE4	GBR	530	1
ITH5	ITA	2414	855
CH02	CHE	1056	2
FRF1	FRA	1462	10
ITH4	ITA	1332	2
ITH3	ITA	486	3
DE21	DEU	1605	8
FRK2	FRA	28	63
CZ06	CZE	1891	30
DEE0	DEU	1891	5
ES51	ESP	137	78
CH02	CHE	137	4
DEA3	DEU	299	12
ITH2	ITA	1891	22
DE11	DEU	2184	5
ITF4	ITA	466	4
NL41	NLD	1891	28
TR51	TUR	1891	6
BE31	BEL	2086	10
DEB3	DEU	233	51
UKH1	GBR	233	45
PL22	POL	1120	4
FI1C	FIN	2378	21
NO09	NOR	1120	1
BG41	BGR	1332	1
EL43	GRC	299	2
FRJ1	FRA	1462	50
FRJ1	FRA	28	6
FRE1	FRA	1735	6
EL52	GRC	83	3
DED2	DEU	2086	14
TR51	TUR	376	6
UKF2	GBR	1237	2
NL33	NLD	2086	153
DE21	DEU	299	4
UKL2	GBR	1366	15
FRI3	FRA	1332	4
FRH0	FRA	1891	41
ES52	ESP	2293	2
TRB2	TUR	1237	3
DEA2	DEU	137	13
NO08	NOR	3725	8
FRI1	FRA	233	6
ES21	ESP	1891	1691
PL41	POL	299	26
BE35	BEL	233	7
FRK2	FRA	1679	4
CH04	CHE	1891	5
CZ01	CZE	299	4
DE11	DEU	1891	53
NL31	NLD	299	2
FRJ2	FRA	28	18
FRJ1	FRA	1120	16
NL12	NLD	137	45
ITF4	ITA	2110	124
FRK2	FRA	233	93
ITH4	ITA	299	29
ES51	ESP	466	10
FR10	FRA	1237	4
PL91	POL	233	20
UKC1	GBR	1891	10
NL11	NLD	233	48
FRJ1	FRA	2110	1
UKF1	GBR	1450	2
ITC3	ITA	1120	16
FRJ1	FRA	137	2
NO08	NOR	1332	184
UKK2	GBR	1891	8
BE24	BEL	28	24
FRK2	FRA	530	72
UKE4	GBR	392	2
NL33	NLD	2378	3
NO08	NOR	83	12
FRC1	FRA	233	30
DK05	DNK	530	8
DK01	DNK	2086	6
IE05	IRL	1120	34
DK01	DNK	137	171
ES13	ESP	1891	56
ITG1	ITA	1891	176
DEF0	DEU	2386	2
DEA1	DEU	2414	95
IE06	IRL	299	32
DE71	DEU	299	9
ITI1	ITA	28	4
TR52	TUR	1450	18
ITF6	ITA	1891	287
BE10	BEL	1120	5
EL30	GRC	28	4
AT13	AUT	233	75
ITI3	ITA	466	2
UKF1	GBR	1120	4
NL31	NLD	1332	30
FI19	FIN	1366	4
AT22	AUT	233	9
DE30	DEU	233	3
UKJ2	GBR	28	1
UKE4	GBR	233	62
PT11	PRT	1856	16
ITH5	ITA	233	40
PL91	POL	1332	4
CZ06	CZE	1120	12
SE33	SWE	83	27
PT17	PRT	233	149
CH04	CHE	233	75
DEA2	DEU	2414	19
FRB0	FRA	2110	13
DEA5	DEU	1891	12
DE21	DEU	2184	9
ITI1	ITA	2184	1
UKE3	GBR	233	57
FRH0	FRA	51	9
ES30	ESP	530	16
ITC1	ITA	376	2
BE24	BEL	2414	38
NL32	NLD	466	12
UKK4	GBR	1120	8
BE25	BEL	137	10
PL41	POL	2184	4
CZ01	CZE	2184	5
FI1B	FIN	2378	120
UKJ2	GBR	2293	2
DE91	DEU	2184	23
DK03	DNK	137	6
ITF5	ITA	466	4
UKE1	GBR	1366	9
ITF1	ITA	1332	2
FRI3	FRA	1237	1
ITF4	ITA	1120	32
FR10	FRA	1332	12
CZ03	CZE	1856	6
CH04	CHE	748	36
RO42	ROU	530	4
ITC3	ITA	2293	1
TR63	TUR	1891	12
SE22	SWE	233	96
ES61	ESP	1891	499
IE04	IRL	1891	115
ITF3	ITA	1120	32
DE71	DEU	2184	8
UKF3	GBR	28	8
SE11	SWE	1332	89
SE22	SWE	748	36
BE24	BEL	1735	50
ITC3	ITA	137	18
EE00	EST	1366	12
FRL0	FRA	1891	74
HU31	HUN	1237	5
TR10	TUR	2242	8
UKC1	GBR	376	5
NL41	NLD	233	7
RO32	ROU	392	24
HU33	HUN	1856	2
ES70	ESP	1891	81
PT11	PRT	2110	1
SE33	SWE	1237	1
TR10	TUR	299	1
NO06	NOR	2414	19
NL31	NLD	1605	3
RO11	ROU	1856	2
UKG3	GBR	233	48
DEF0	DEU	299	2
FI1B	FIN	2086	1
NO0A	NOR	233	6
UKM8	GBR	1856	5
ITH2	ITA	392	28
BE31	BEL	137	3
CZ06	CZE	486	4
NL21	NLD	1332	3
TR10	TUR	28	1
TR10	TUR	733	3
UKN0	GBR	28	2
UKD4	GBR	2414	114
SE11	SWE	233	3
FRI1	FRA	466	20
SE12	SWE	1891	852
LV00	LVA	486	35
RO32	ROU	1891	2
DED2	DEU	137	7
UKK4	GBR	486	6
UKK1	GBR	1891	117
ES61	ESP	1366	32
EL30	GRC	2110	6
DE30	DEU	466	12
PT18	PRT	1332	48
ITC1	ITA	233	15
NL33	NLD	1891	62
ES41	ESP	1605	10
DEE0	DEU	299	1
ES51	ESP	299	7
ES52	ESP	137	22
IE06	IRL	1332	55
DEB3	DEU	748	72
DE11	DEU	2086	116
UKG3	GBR	1332	14
SE22	SWE	83	6
SE23	SWE	1891	149
ITI2	ITA	1120	15
UKE4	GBR	1332	7
NL12	NLD	2086	1772
UKL1	GBR	1605	11
TR71	TUR	530	2
PT17	PRT	83	12
DE91	DEU	1237	2
UKD6	GBR	233	9
FRJ2	FRA	1237	1
DK01	DNK	1891	104
ES21	ESP	1366	1
UKF1	GBR	28	2
CZ01	CZE	1332	9
PT17	PRT	1605	4
DE92	DEU	486	20
FR10	FRA	1679	1
CH01	CHE	2086	2
TR42	TUR	1891	8
PT16	PRT	2110	64
PT15	PRT	2293	4
UKM7	GBR	1366	17
UKH1	GBR	1605	11
DE21	DEU	1120	4
ITI1	ITA	1120	8
TR90	TUR	1120	2
ITI4	ITA	2414	133
AT31	AUT	392	2
PT17	PRT	299	3
FR10	FRA	233	138
UKH2	GBR	1366	3
UKJ3	GBR	83	3
RS11	SRB	28	5
ITF6	ITA	2086	422
BE24	BEL	2184	1
PL22	POL	2086	1
IE05	IRL	466	6
DE21	DEU	28	2
NO09	NOR	2086	40
ES52	ESP	1856	8
PL41	POL	1462	12
UKJ3	GBR	1332	99
ITI3	ITA	233	9
EL30	GRC	1120	18
LU00	LUX	392	22
BE24	BEL	299	3
UKJ3	GBR	2386	2
DE94	DEU	2184	5
ITI4	ITA	1120	12
UKH2	GBR	1891	33
UKJ1	GBR	233	39
DE24	DEU	486	9
UKJ2	GBR	2086	4
PL71	POL	299	2
TRC2	TUR	1237	3
BE24	BEL	83	36
DEA5	DEU	2086	3
UKJ2	GBR	2110	1
EL30	GRC	1856	2
UKF1	GBR	2184	2
UKL1	GBR	1332	182
FRG0	FRA	1891	303
HR03	HRV	1120	16
UKM8	GBR	137	29
UKJ2	GBR	137	30
UKD3	GBR	1891	107
NO06	NOR	83	12
ITC4	ITA	466	12
UKI4	GBR	137	2
PT17	PRT	1332	2
DE60	DEU	1891	7
UKH1	GBR	1332	34
ITI4	ITA	28	11
UKI3	GBR	1366	3
FI1B	FIN	1891	25
ES24	ESP	233	26
PL91	POL	299	95
UKG3	GBR	1605	2
UKC2	GBR	1891	59
DE50	DEU	466	12
RO22	ROU	1891	37
FRH0	FRA	137	2
PL71	POL	83	2
DE91	DEU	299	1
UKJ4	GBR	299	4
ES51	ESP	530	2
DK03	DNK	1120	5
ITI1	ITA	486	1
HR03	HRV	2414	76
NL32	NLD	1366	13
UKE4	GBR	299	8
PL21	POL	299	6
UKN0	GBR	2293	2
ITH5	ITA	299	5
FRE1	FRA	2184	18
SK01	SVK	2086	1
ITH4	ITA	1120	12
ITH3	ITA	1891	37
FRK2	FRA	1332	91
PT11	PRT	1435	1
DED4	DEU	137	1
ES24	ESP	1450	18
BE21	BEL	28	4
HU11	HUN	233	18
DED4	DEU	2110	1
ES51	ESP	1332	2
DK01	DNK	3725	8
UKC2	GBR	28	2
ES11	ESP	83	6
FRI3	FRA	2184	13
UKC1	GBR	233	18
FI19	FIN	233	7
ES12	ESP	2242	2
FRK2	FRA	1891	101
ITC4	ITA	299	4
CZ06	CZE	1605	2
ES11	ESP	1332	38
ITF5	ITA	1237	6
ES12	ESP	1366	4
ITG1	ITA	137	12
UKI3	GBR	1332	328
BG41	BGR	1120	16
PL42	POL	1605	2
SE11	SWE	2184	4
NO06	NOR	2086	241
AT13	AUT	83	12
EL52	GRC	1450	10
ES52	ESP	2086	3
UKJ4	GBR	28	8
PL51	POL	299	3
BE24	BEL	2086	51
FI1B	FIN	1366	4
NL33	NLD	2293	1
TRB1	TUR	1891	3
IE06	IRL	1450	32
ES11	ESP	299	4
NL31	NLD	1120	16
ES41	ESP	2086	6
TR10	TUR	137	20
UKD7	GBR	1332	38
ES41	ESP	137	62
MK00	MKD	2293	1
AT33	AUT	83	12
ES30	ESP	1605	12
FRD2	FRA	1891	12
IE06	IRL	1120	40
UKD3	GBR	1332	4
UKI3	GBR	1237	26
BE21	BEL	1856	8
NO08	NOR	1120	6
CZ01	CZE	28	2
ITH2	ITA	299	31
NO06	NOR	2386	3
ITC1	ITA	1605	8
ITF3	ITA	1891	697
PT11	PRT	137	4
ES30	ESP	1237	9
FRJ2	FRA	233	75
EL52	GRC	2110	3
SE33	SWE	28	3
PL63	POL	1891	24
DE26	DEU	28	4
SE23	SWE	1332	258
PL91	POL	28	7
PL41	POL	486	2
DED5	DEU	748	36
ES21	ESP	28	1
PL21	POL	1366	8
PT15	PRT	1332	16
CH04	CHE	28	6
NL32	NLD	1332	17
DEF0	DEU	486	12
FRJ2	FRA	2184	27
ES21	ESP	1120	8
UKJ4	GBR	1735	4
ES51	ESP	1237	8
DEA5	DEU	233	18
BE33	BEL	733	6
DE11	DEU	2378	9
UKH1	GBR	299	209
ITH3	ITA	376	2
UKF2	GBR	28	1
TR10	TUR	1332	39
NL31	NLD	1450	6
