nuts2	country_iso_alpha3_code	cluster_id1	counts
UKF2	GBR	2022	3
IE06	IRL	488	16
DEA2	DEU	134	1
UKN0	GBR	2026	8
ITH3	ITA	19	53
HU11	HUN	1738	6
DEA5	DEU	684	14
UKD3	GBR	299	293
DED5	DEU	78	9
UKH1	GBR	1015	188
DE25	DEU	891	8
HU11	HUN	1275	17
FRF1	FRA	2894	5
ITC4	ITA	2426	1
ITH2	ITA	2281	10
DK01	DNK	2334	4
UKG3	GBR	336	2
DE30	DEU	218	33
FI19	FIN	1291	36
ITI4	ITA	1088	216
FRL0	FRA	475	6
SE12	SWE	152	6
DE30	DEU	1956	1601
DE92	DEU	2223	3
DK02	DNK	128	316
EL30	GRC	278	3
DE30	DEU	1709	2272
DEA1	DEU	1865	14
ES41	ESP	1065	2
UKG2	GBR	511	4
ES61	ESP	128	1411
CZ02	CZE	772	18
FRK2	FRA	203	11
UKM7	GBR	301	6
NL22	NLD	2112	24
CH01	CHE	677	90
DE11	DEU	2357	64
ITC1	ITA	11	325
DE73	DEU	422	26
AT13	AUT	78	15
FRF3	FRA	215	4
HU11	HUN	3248	20
SE12	SWE	178	12
CZ07	CZE	486	12
DK05	DNK	1077	10
ES30	ESP	204	6
DEA3	DEU	1491	1
DE80	DEU	1075	7
ES30	ESP	1258	6
DE91	DEU	780	1
CH04	CHE	232	3
EL30	GRC	1525	1011
FRE1	FRA	381	1518
DE40	DEU	3414	72
ITF4	ITA	1382	16
UKE3	GBR	2112	154
PL61	POL	3500	8
FR10	FRA	721	1133
DEB3	DEU	723	14
FI1D	FIN	301	50
CH01	CHE	867	117
DE30	DEU	301	41
CH07	CHE	25	8
FI1D	FIN	1580	99
UKM8	GBR	1824	15
UKH2	GBR	2291	2
ES30	ESP	3220	105
UKH1	GBR	697	23
BE24	BEL	452	12
UKE3	GBR	412	1
UKM7	GBR	66	630
UKD3	GBR	97	137
DE60	DEU	299	912
UKH3	GBR	1352	8
NL32	NLD	1398	3
DE26	DEU	1291	88
DE11	DEU	532	4
DE11	DEU	5	1
AT13	AUT	525	138
DE92	DEU	796	2
RO42	ROU	875	6
NL21	NLD	735	3
UKE4	GBR	286	92
DEA1	DEU	1129	1
DEA1	DEU	271	74
NL33	NLD	299	214
DED4	DEU	593	84
IE05	IRL	377	4
UKD3	GBR	1289	46
CH03	CHE	1524	5
FRH0	FRA	525	6
NL31	NLD	2463	24
FI1B	FIN	1904	138
UKE3	GBR	1604	4
BG42	BGR	208	186
SE12	SWE	1852	8
UKJ1	GBR	462	4
