nuts2	country_iso_alpha3_code	cluster_id1	counts
RS12	SRB	205	6
EL63	GRC	87	35
DEA2	DEU	921	312
UKM7	GBR	2743	18
DK02	DNK	1587	69
TR52	TUR	1398	3
EL30	GRC	1830	2
DE21	DEU	1918	3
DEB3	DEU	1738	30
ITH5	ITA	1752	37
UKG3	GBR	50	2
BE33	BEL	1918	464
UKG3	GBR	57	2
AL02	ALB	1738	4
NL41	NLD	556	2
UKE1	GBR	1743	80
BE24	BEL	921	166
DE13	DEU	772	26
ITF1	ITA	921	12
ES61	ESP	205	22
HR05	HRV	1468	6
PL21	POL	959	8
ITI3	ITA	1743	2
FRC2	FRA	1978	9
DK04	DNK	921	42
DE91	DEU	857	24
RO12	ROU	721	2
ES11	ESP	1743	3
FRJ1	FRA	959	4
PL71	POL	921	26
TR10	TUR	1978	45
HU11	HUN	2435	1
ITF4	ITA	1896	1
TR72	TUR	1605	2
DE30	DEU	1468	17
AT13	AUT	1723	21
DEB3	DEU	19	4
EL52	GRC	1752	52
DE50	DEU	124	4
UKM8	GBR	137	3
UKH1	GBR	19	52
PT11	PRT	1468	18
UKL1	GBR	64	9
ITC1	ITA	1743	34
FR10	FRA	271	8
LT02	LTU	1978	4
FRK2	FRA	316	2
ITI4	ITA	1355	120
TR10	TUR	66	32
TR10	TUR	1743	13
SE33	SWE	2426	3
FRE1	FRA	921	839
NL42	NLD	105	4
SE33	SWE	874	12
ITC4	ITA	1468	68
DE40	DEU	124	11
DED4	DEU	105	12
ITF1	ITA	1605	8
DE71	DEU	57	18
ES61	ESP	2743	9
DE25	DEU	1450	76
DE80	DEU	124	8
DE30	DEU	1760	1
DE11	DEU	201	11
ITC1	ITA	124	21
FI19	FIN	1468	21
ITC3	ITA	208	12
CZ03	CZE	205	2
UKI7	GBR	105	3
ES21	ESP	236	160
UKE4	GBR	1738	296
UKF1	GBR	1398	16
DED4	DEU	124	2
UKE4	GBR	838	3
DEB3	DEU	2201	4
CH01	CHE	2435	12
IS00	ISL	1760	1
BE10	BEL	3573	16
FRF2	FRA	78	1
DED5	DEU	274	12
NO06	NOR	921	243
FR10	FRA	772	316
EL30	GRC	1628	9
FRE2	FRA	1738	30
DE14	DEU	1743	1
EL43	GRC	1628	78
SE22	SWE	921	31
UKJ2	GBR	87	25
NL41	NLD	321	7
FRF1	FRA	205	6
NL41	NLD	954	4
DE30	DEU	921	63
PL91	POL	954	2
CZ01	CZE	156	29
CH01	CHE	1468	160
RS11	SRB	245	25
CH02	CHE	2743	3
DE12	DEU	2085	1
FRI1	FRA	1918	63
ES23	ESP	876	2
UKJ3	GBR	205	3
FRI1	FRA	1835	6
PL51	POL	19	2
ITI3	ITA	381	4
FR10	FRA	942	23
CH03	CHE	772	44
FRF3	FRA	642	30
CZ08	CZE	19	1
ITC3	ITA	57	23
ITC4	ITA	826	4
BG41	BGR	942	16
DE92	DEU	645	9
FRK2	FRA	274	4
AT31	AUT	1604	30
UKE2	GBR	44	2
ITC4	ITA	1918	20
TR90	TUR	57	6
NL33	NLD	1398	12
HU11	HUN	2085	1
FRD1	FRA	1752	7
ITF1	ITA	28	4
ITF1	ITA	1355	30
SE11	SWE	1804	22
ES51	ESP	205	304
DEG0	DEU	1928	6
DEA2	DEU	3045	25
FRC1	FRA	724	14
PL41	POL	156	36
ES51	ESP	1738	40
UKM7	GBR	921	56
BE21	BEL	66	146
TR82	TUR	205	3
IE04	IRL	2294	4
DK04	DNK	381	12
UKM8	GBR	1978	28
UKF1	GBR	1587	3
ES51	ESP	1401	32
ITI4	ITA	205	99
ITH4	ITA	1604	23
ES61	ESP	1760	12
PT17	PRT	1835	18
CZ01	CZE	66	8
TR10	TUR	3350	18
DE21	DEU	2364	8
FRB0	FRA	1587	8
ITC1	ITA	5	23
CZ08	CZE	1738	30
UKM7	GBR	1441	12
CH07	CHE	921	136
ITF3	ITA	1587	5
FR10	FRA	422	3
FRF1	FRA	1468	4
TR51	TUR	316	1
FRI1	FRA	954	2
PL51	POL	1468	3
SE11	SWE	66	66
UKJ1	GBR	1587	6
FRD1	FRA	78	6
ES61	ESP	1468	1016
DEA3	DEU	1703	4
ITI2	ITA	525	44
DEA1	DEU	1775	27
FI1C	FIN	105	28
UKE3	GBR	184	3
TR51	TUR	1743	1
DEE0	DEU	1743	8
UKJ1	GBR	205	28
NO06	NOR	156	5
DE72	DEU	2435	12
FI1C	FIN	233	87
ITF3	ITA	1532	2
ITC4	ITA	1738	60
ITC4	ITA	482	2
TR10	TUR	146	1
UKC2	GBR	1450	6
DE91	DEU	645	199
NL33	NLD	1723	6
FRJ1	FRA	721	18
RS11	SRB	316	6
