nuts2	country_iso_alpha3_code	cluster_id1	counts
FRE2	FRA	677	12
ITC4	ITA	1429	2
NL41	NLD	256	5
PT16	PRT	953	36
NO06	NOR	393	5
DE21	DEU	182	10
AT12	AUT	864	8
RO42	ROU	953	30
DEA2	DEU	393	160
TR31	TUR	1440	8
UKK1	GBR	297	2
ITC4	ITA	2184	9
UKG3	GBR	3097	8
UKD3	GBR	760	286
DE60	DEU	796	4
SE12	SWE	319	6
UKM7	GBR	337	19
HU11	HUN	124	6
UKL2	GBR	2854	20
PT17	PRT	1576	20
TR41	TUR	278	10
PL41	POL	2022	2
FRJ2	FRA	1429	4
UKI3	GBR	774	3
UKH1	GBR	71	6
ES22	ESP	337	117
DEA4	DEU	2127	9
UKE3	GBR	1891	12
CH04	CHE	3481	644
ITH5	ITA	376	190
DE11	DEU	98	3
RO42	ROU	1602	9
ITC4	ITA	256	145
FRE2	FRA	1175	26
EL53	GRC	1738	4
ES62	ESP	2022	6
DE71	DEU	1139	1
DE30	DEU	50	7
UKE1	GBR	381	1
NL33	NLD	2079	7
TR71	TUR	393	70
DE71	DEU	1322	10
SE12	SWE	765	5
FRJ2	FRA	394	44
UKH1	GBR	897	38
UKJ3	GBR	1995	8
FRE2	FRA	857	200
DE91	DEU	448	4
UKM7	GBR	774	12
CY00	CYP	1738	404
ES61	ESP	760	667
SI04	SVN	14	13
AT34	AUT	1738	64
UKK2	GBR	182	3
PL91	POL	1602	4
UKJ4	GBR	182	2
ITG2	ITA	182	71
PL21	POL	765	24
ITC4	ITA	857	1019
BE10	BEL	182	17
SE31	SWE	340	2
NO06	NOR	1984	300
DED4	DEU	348	2
TR22	TUR	393	4
ES51	ESP	394	10
FR10	FRA	1289	58
FR10	FRA	45	24
TR51	TUR	444	342
FRJ2	FRA	1120	1
CY00	CYP	337	1710
FRK2	FRA	1468	1
UKG3	GBR	167	1
PT17	PRT	448	465
UKH1	GBR	662	198
NL21	NLD	1322	6
DE30	DEU	760	26
TR63	TUR	2308	4
FI1C	FIN	772	4
PL71	POL	448	2
FRG0	FRA	2413	9
UKG3	GBR	530	99
EE00	EST	444	22
UKE1	GBR	1891	48
ES30	ESP	1572	45
PL63	POL	234	96
EL63	GRC	1468	6
ITH3	ITA	340	78
PL42	POL	639	8
SE33	SWE	1175	6
IE05	IRL	444	2
RO21	ROU	2308	4
CZ06	CZE	1657	6
FRJ2	FRA	857	401
DK01	DNK	256	18
SE11	SWE	444	262
AT31	AUT	376	173
UKH2	GBR	2135	4
DK02	DNK	2028	24
FRJ1	FRA	2022	10
ITI1	ITA	3097	6
NO06	NOR	448	366
UKK1	GBR	772	3
FRI1	FRA	337	6
ES52	ESP	428	2
PT11	PRT	2135	20
PT16	PRT	530	388
CZ08	CZE	1139	1
DEA2	DEU	784	32
FRG0	FRA	340	25
DE27	DEU	14	6
ITF6	ITA	1332	5
DEA2	DEU	428	5
PL63	POL	394	20
FI1B	FIN	639	170
TR90	TUR	2308	4
UKC2	GBR	1185	36
DE40	DEU	1083	8
TR42	TUR	3146	27
PL63	POL	1332	26
UKD7	GBR	256	8
PL51	POL	3083	16
PT16	PRT	1738	220
HU33	HUN	182	5
PL43	POL	639	72
UKM5	GBR	45	1
FRJ1	FRA	765	1
NO06	NOR	2256	4
DE91	DEU	293	6
ES21	ESP	228	12
IE04	IRL	1897	4
ES24	ESP	393	14
UKF2	GBR	825	8
NO0A	NOR	448	12
UKH1	GBR	448	24
CH03	CHE	1738	232
UKD3	GBR	28	7
DE60	DEU	278	4
ES21	ESP	437	18
UKH2	GBR	2184	4
TR31	TUR	376	98
FRF2	FRA	340	12
DE60	DEU	1332	216
DE92	DEU	274	6
EL52	GRC	825	8
ME00	MNE	639	40
UKG3	GBR	2022	1
IE06	IRL	920	5
UKH2	GBR	394	12
UKK1	GBR	275	1
TR31	TUR	167	2
FRF1	FRA	2308	18
UKH1	GBR	2022	16
TR42	TUR	2854	3
SI04	SVN	593	18
UKL2	GBR	1576	528
ES21	ESP	482	6
FRH0	FRA	1738	334
DE94	DEU	784	6
DED2	DEU	1332	26
ITF3	ITA	14	15
DE93	DEU	1429	4
DE21	DEU	1518	4
UKM8	GBR	2558	2
CH01	CHE	1897	4
DK04	DNK	765	98
DE91	DEU	376	9
PT17	PRT	182	116
DE25	DEU	1468	2
DEA2	DEU	2256	6
TR10	TUR	376	198
FRF3	FRA	2186	100
UKH1	GBR	1450	40
NO06	NOR	376	120
ITC4	ITA	1293	6
DE30	DEU	2022	56
CH06	CHE	1615	21
CY00	CYP	182	2
SI03	SVN	662	16
PT16	PRT	639	1094
FRD2	FRA	2186	6
FRF3	FRA	920	16
RO12	ROU	530	361
PT17	PRT	381	1
UKD7	GBR	1175	72
SK04	SVK	337	18
ITF4	ITA	760	87
FRL0	FRA	2308	8
SK01	SVK	3222	2
DEG0	DEU	1120	9
UKD3	GBR	1175	203
FI1D	FIN	232	8
ITF1	ITA	376	90
EL30	GRC	765	11
CZ05	CZE	275	2
FRF2	FRA	2978	9
DEA5	DEU	278	1
ES52	ESP	765	5
IE05	IRL	639	334
ITI1	ITA	340	4
CZ01	CZE	376	153
PT16	PRT	482	1
ES22	ESP	182	3
FRK2	FRA	1027	8
TR22	TUR	376	3
NL21	NLD	1293	10
TRC1	TUR	1332	42
SE23	SWE	800	12
PL22	POL	50	10
DEA5	DEU	1332	49
UKM7	GBR	897	2
ITC4	ITA	1576	44
ITI2	ITA	639	144
UKK1	GBR	857	2
CZ06	CZE	340	21
UKC2	GBR	1738	116
EL63	GRC	677	15
ES30	ESP	337	899
UKC1	GBR	50	21
ES52	ESP	1247	1
PL63	POL	256	51
ITI1	ITA	632	28
ES30	ESP	662	229
EL63	GRC	278	4
FRH0	FRA	639	956
ITH2	ITA	1139	3
UKD7	GBR	182	2
NL41	NLD	1576	14
ITF3	ITA	2308	10
ITC3	ITA	2308	4
